state,district,year,predicted_crimes
Terengganu,Marang,2027,126.69405
Terengganu,Setiu,2027,71.14426
W.P. Kuala Lumpur,Brickfields,2027,1413.8915
W.P. Kuala Lumpur,Cheras,2027,1294.2269
W.P. Kuala Lumpur,Dang Wangi,2027,2241.3906
W.P. Kuala Lumpur,Sentul,2027,1821.2069
W.P. Kuala Lumpur,W.P. Putrajaya,2027,216.78374
W.P. Kuala Lumpur,Wangsa Maju,2027,1673.2489
Johor,Batu Pahat,2028,454.6655
Johor,Iskandar Puteri,2028,497.10428
Johor,Johor Bahru Selatan,2028,1716.8652
Johor,Johor Bahru Utara,2028,1040.4302
Johor,Kluang,2028,418.76407
Johor,Kota Tinggi,2028,351.30457
Johor,Kulaijaya,2028,452.48557
Johor,Ledang,2028,149.38933
Johor,Mersing,2028,100.12584
Johor,Muar,2028,226.58888
Johor,Nusajaya,2028,109.469154
Johor,Pontian,2028,180.16154
Johor,Segamat,2028,242.42126
Johor,Seri Alam,2028,1062.5955
Kedah,Baling,2028,245.29715
Kedah,Kota Setar,2028,1077.3263
Kedah,Kuala Muda,2028,1348.8219
Kedah,Kubang Pasu,2028,437.04886
Kedah,Kulim,2028,626.0718
Kedah,Langkawi,2028,289.74655
Kedah,Padang Terap,2028,81.44869
Kedah,Pendang,2028,177.51541
Kedah,Sik,2028,50.086357
Kedah,Yan,2028,97.42387
Kelantan,Bachok,2028,208.63332
Kelantan,Gua Musang,2028,123.32957
Kelantan,Jeli,2028,36.14813
Kelantan,Kota Bharu,2028,1104.0177
Kelantan,Kuala Krai,2028,127.32943
Kelantan,Machang,2028,164.197
Kelantan,Pasir Mas,2028,270.6664
Kelantan,Pasir Puteh,2028,261.5265
Kelantan,Tanah Merah,2028,172.09566
Kelantan,Tumpat,2028,230.9205
Melaka,Alor Gajah,2028,262.6139
Melaka,Jasin,2028,172.09837
Melaka,Melaka Tengah,2028,1473.2389
Negeri Sembilan,Jelebu,2028,52.168995
Negeri Sembilan,Jempol,2028,179.60854
Negeri Sembilan,Kuala Pilah,2028,147.77676
Negeri Sembilan,Nilai,2028,663.51636
Negeri Sembilan,Port Dickson,2028,258.75592
Negeri Sembilan,Rembau,2028,90.25525
Negeri Sembilan,Seremban,2028,951.0998
Negeri Sembilan,Tampin,2028,141.56816
Pahang,Bentong,2028,284.72397
Pahang,Bera,2028,109.23915
Pahang,Jerantut,2028,132.825
Pahang,Kuala Lipis,2028,83.82113
Pahang,Kuantan,2028,978.3486
Pahang,Maran,2028,167.70908
Pahang,Pekan,2028,132.46606
Pahang,Raub,2028,82.72127
Pahang,Rompin,2028,142.61305
Pahang,Temerloh,2028,217.00827
Perak,Batu Gajah,2028,75.30967
Perak,Gerik,2028,57.824318
Perak,Hilir Perak,2028,402.2328
Perak,Ipoh,2028,1343.7703
Perak,Kampar,2028,123.13159
Perak,Kerian,2028,159.89317
Perak,Kuala Kangsar,2028,95.63252
Perak,Manjung,2028,384.30884
Perak,Pengkalan Hulu,2028,11.389455
Perak,Perak Tengah,2028,99.440445
Perak,Selama,2028,26.931406
Perak,Sungai Siput,2028,83.75349
Perak,Taiping,2028,475.6791
Perak,Tanjong Malim,2028,95.729965
Perak,Tapah,2028,127.45583
Perlis,Arau,2028,99.483826
