series,date,state,sector,value
abs,1/1/2019,Kelantan,Construction,383.135
abs,1/1/2019,Kelantan,Services,17535.366
abs,1/1/2019,Kelantan,(plus) Import dutie,29.729
abs,1/1/2019,Melaka,GDP at purchasers' prices,43583.397
abs,1/1/2019,Melaka,Agriculture,4433.169
abs,1/1/2019,Melaka,Mining and quarrying,67.905
abs,1/1/2019,Melaka,Manufacturing,16744.806
abs,1/1/2019,Melaka,Construction,1357.797
abs,1/1/2019,Melaka,Services,20917.737
abs,1/1/2019,Melaka,(plus) Import dutie,61.984
abs,1/1/2019,Negeri Sembilan,GDP at purchasers' prices,48033.554
abs,1/1/2019,Negeri Sembilan,Agriculture,3556.781
abs,1/1/2019,Negeri Sembilan,Mining and quarrying,235.759
abs,1/1/2019,Negeri Sembilan,Manufacturing,17630.391
abs,1/1/2019,Negeri Sembilan,Construction,1842.634
abs,1/1/2019,Negeri Sembilan,Services,24037.373
abs,1/1/2019,Negeri Sembilan,(plus) Import dutie,730.616
abs,1/1/2019,Pahang,GDP at purchasers' prices,58434.372
abs,1/1/2019,Pahang,Agriculture,12849.208
abs,1/1/2019,Pahang,Mining and quarrying,819.669
abs,1/1/2019,Pahang,Manufacturing,12766.618
abs,1/1/2019,Pahang,Construction,1726.92
abs,1/1/2019,Pahang,Services,30217.041
abs,1/1/2019,Pahang,(plus) Import dutie,54.917
abs,1/1/2019,Perak,GDP at purchasers' prices,75992.708
abs,1/1/2019,Perak,Agriculture,11312.41
abs,1/1/2019,Perak,Mining and quarrying,504.554
abs,1/1/2019,Perak,Manufacturing,13683.259
abs,1/1/2019,Perak,Construction,2490.203
abs,1/1/2019,Perak,Services,47970.594
abs,1/1/2019,Perak,(plus) Import dutie,31.687
abs,1/1/2019,Perlis,GDP at purchasers' prices,6151.334
abs,1/1/2019,Perlis,Agriculture,1333.94
abs,1/1/2019,Perlis,Mining and quarrying,33.318
abs,1/1/2019,Perlis,Manufacturing,470.377
abs,1/1/2019,Perlis,Construction,166.658
abs,1/1/2019,Perlis,Services,4074.923
abs,1/1/2019,Perlis,(plus) Import dutie,72.118
abs,1/1/2019,Pulau Pinang,GDP at purchasers' prices,94645.352
abs,1/1/2019,Pulau Pinang,Agriculture,2067.787
abs,1/1/2019,Pulau Pinang,Mining and quarrying,171.449
abs,1/1/2019,Pulau Pinang,Manufacturing,40510.378
abs,1/1/2019,Pulau Pinang,Construction,2644.079
abs,1/1/2019,Pulau Pinang,Services,48645.481
abs,1/1/2019,Pulau Pinang,(plus) Import dutie,606.177
abs,1/1/2019,Sabah,GDP at purchasers' prices,85641.69
abs,1/1/2019,Sabah,Agriculture,13719.07
abs,1/1/2019,Sabah,Mining and quarrying,22736.44
abs,1/1/2019,Sabah,Manufacturing,6471.818
abs,1/1/2019,Sabah,Construction,3098.682
abs,1/1/2019,Sabah,Services,39428.467
abs,1/1/2019,Sabah,(plus) Import dutie,187.213
